comment_phrase,comment_sentiment,clean_text,encoded_label
සරදියෙල්වත් සමරුවොත් නරකද? ඔහුත් දුප්පතාට සේවය කල කෙනෙක්.,NEUTRAL,සරදියෙල්වත් සමරුවොත් නරකද ඔහුත් දුප්පතාට සේවය කල කෙනෙක්,1
සරදියෙල්ටත් උපහාර කළා නම් තමා හොද,NEUTRAL,සරදියෙල්ටත් උපහාර කළා නම් තමා හොද,1
අපේ නමස්කාරය ඔබට!,POSITIVE,අපේ නමස්කාරය ඔබට,2
මහත්තයා නරුනත් නාමය අමරණීයයි,POSITIVE,මහත්තයා නරුනත් නාමය අමරණීයයි,2
සරදියෙල්ලාගේ කාලේ සිද්දියක්,NEUTRAL,සරදියෙල්ලාගේ කාලේ සිද්දියක්,1
සරදියෙල් මංකොල්ල කෑවේ සුද්දන්ගේ සල්ලි. සරදියෙල්වත් සමරනවානම් හොදයි,POSITIVE,සරදියෙල් මංකොල්ල කෑවේ සුද්දන්ගේ සල්ලි සරදියෙල්වත් සමරනවානම් හොදයි,2
මිය ගිය පොලිස් නිලධාරියා සදා අමරනීයයි,POSITIVE,මිය ගිය පොලිස් නිලධාරියා සදා අමරනීයයි,2
රාලහාමි ඔබට නිවන් සුව,POSITIVE,රාලහාමි ඔබට නිවන් සුව,2
පොලිස් සේවයට ඔබ ආදර්ශයක්,POSITIVE,පොලිස් සේවයට ඔබ ආදර්ශයක්,2
සරදියෙල් කියන්නේ සුද්දට විරුද්දව සටන් කරපු කෙනෙක්. සුද්දා වෙනුවෙන් ක්‍රියාත්මක වුණ පොලිසිය අපට අපේ රටේ පොලිසිය කියලා පිළිගන්න බැහැ. අපි අලුත් පොලිස් දිනයක් සැමරිය යුතුයි.,NEGATIVE,සරදියෙල් කියන්නේ සුද්දට විරුද්දව සටන් කරපු කෙනෙක් සුද්දා වෙනුවෙන් ක්රියාත්මක වුණ පොලිසිය අපට අපේ රටේ පොලිසිය කියලා පිළිගන්න බැහැ අපි අලුත් පොලිස් දිනයක් සැමරිය යුතුයි,0
ඉතාමත් වැදගත් වැඩක්,POSITIVE,ඉතාමත් වැදගත් වැඩක්,2
සභාත් කියන්නේ මුස්ලිම් කෙනෙක්ද?,NEUTRAL,සභාත් කියන්නේ මුස්ලිම් කෙනෙක්ද,1
සියළුම පොලිස් නිළ දරුවන්ට අපගේ ප්‍රණාමය!,POSITIVE,සියළුම පොලිස් නිළ දරුවන්ට අපගේ ප්රණාමය,2
ලංකා පොලිස් ඉතිහාසයේ පළමු වරට ජිවිතය පරදුවට තබා ක්‍රියා කර ඇත්තේ මුස්ලිම් කෙනෙක්. ඒ වගේම උතුවන්කන්දේ සූර සරදියල්ට උදවු කලෙත් මුස්ලිම් කෙනෙක්.,NEUTRAL,ලංකා පොලිස් ඉතිහාසයේ පළමු වරට ජිවිතය පරදුවට තබා ක්රියා කර ඇත්තේ මුස්ලිම් කෙනෙක් ඒ වගේම උතුවන්කන්දේ සූර සරදියල්ට උදවු කලෙත් මුස්ලිම් කෙනෙක්,1
"ඇති මිනිහාගෙන් අරන් නැති මිනිහාට දුන්නු මිනිහෙක් සරදියෙල් කියන්නේ,",POSITIVE,ඇති මිනිහාගෙන් අරන් නැති මිනිහාට දුන්නු මිනිහෙක් සරදියෙල් කියන්නේ,2
"මෙම දිනය කාසියක දෙපැත්ත වගේ. සරදියෙල්ගෙත් මරණයට ආසන්නම හේතුවත් මෙම පොලිස් නිලධාරියාගේ මරණයම වීමත්, හිතට දැනෙද්දී මොකක්දෝ වගේ",NEUTRAL,මෙම දිනය කාසියක දෙපැත්ත වගේ සරදියෙල්ගෙත් මරණයට ආසන්නම හේතුවත් මෙම පොලිස් නිලධාරියාගේ මරණයම වීමත් හිතට දැනෙද්දී මොකක්දෝ වගේ,1
සරදියෙල් කියන්නේ සිංහලයෙක්.,POSITIVE,සරදියෙල් කියන්නේ සිංහලයෙක්,2
ඔබ පොලිස් දෙපාර්ත මේන්තුවට ආදර්ශයක්,POSITIVE,ඔබ පොලිස් දෙපාර්ත මේන්තුවට ආදර්ශයක්,2
ඇයි අපි සුද්දන්ට එරෙහිව වැඩ කරපු සරදියෙල්ව සමරන්නෙ නැත්තේ?,NEUTRAL,ඇයි අපි සුද්දන්ට එරෙහිව වැඩ කරපු සරදියෙල්ව සමරන්නෙ නැත්තේ,1
ලාංකිකයකු ලෙස මම් මලේ මරික්කාර් හා දීකිරි කෑවගේ සරදියෙල් මගේ ජාතික විරුවන්ය.,POSITIVE,ලාංකිකයකු ලෙස මම් මලේ මරික්කාර් හා දීකිරි කෑවගේ සරදියෙල් මගේ ජාතික විරුවන්ය,2
ලංකාවේ කාන්තා පොලිස් කොස්තාපල් වරියන් දැක්කම හිනා යනවා. කෙලින් හිට ගන්න පන නැහැ වගේ.,NEGATIVE,ලංකාවේ කාන්තා පොලිස් කොස්තාපල් වරියන් දැක්කම හිනා යනවා කෙලින් හිට ගන්න පන නැහැ වගේ,0
මෙහි මරුමුවට පත් පොලිස් නිලධාරියා මුස්ලිම් ජාතිකයෙක්. මුස්ලිම්වරයකු වශයෙන් ඔහු කළ සේවය ශ්‍රී ලාංකිකයන් වශයෙන් මහත් ආඩම්බරයකි.,POSITIVE,මෙහි මරුමුවට පත් පොලිස් නිලධාරියා මුස්ලිම් ජාතිකයෙක් මුස්ලිම්වරයකු වශයෙන් ඔහු කළ සේවය ශ්රී ලාංකිකයන් වශයෙන් මහත් ආඩම්බරයකි,2
සමරන්න ඕනා එක නෙවෙයි සමරන්නේ.,NEGATIVE,සමරන්න ඕනා එක නෙවෙයි සමරන්නේ,0
ඒ කාලෙත් ඉ්සසරහට ගිහින් තියෙන්නේ හලාල් කරපු කෙනෙක්.,NEGATIVE,ඒ කාලෙත් ඉ්සසරහට ගිහින් තියෙන්නේ හලාල් කරපු කෙනෙක්,0
ඈ බොලේ? දැන් එතකොට සරදියෙල්ද දේශද්‍රෝහියා?,NEUTRAL,ඈ බොලේ දැන් එතකොට සරදියෙල්ද දේශද්රෝහියා,1
